label,signature,size,depth,lugs,staveOption,hoopType,hardwareColor,scorchDepth,movement,spread,firstHit,firstHitScore,underTheHands,underTheHandsScore,fromTheBench,fromTheBenchScore,digest,attack,brightness,projection,sustain,warmth,sensitivity,control,attackDelta,brightnessDelta,projectionDelta,sustainDelta,warmthDelta,sensitivityDelta,controlDelta,playingSituation,feelReadText,highlightedCharacteristics
12x7.5 • 8 lugs • 16 - 10mm • Die-Cast • Brass/Gold • Medium Torch,12|7.5|8|16 - 10mm|Die-Cast|Brass/Gold|Medium Torch,12,7.5,8,16 - 10mm,Die-Cast,Brass/Gold,Medium Torch,2.61,0.97,Focused throw with clean shape,1.527,Grounded body with directed carry,1.9915,Shorter note with firm response,1.57,simple:focused-throw-clean-shape > shaped:grounded-body-directed-carry > complex:shorter-note-firm-response,5.43,5.24,5.66,5.19,5.43,4.69,5.35,0.43,0.24,0.66,0.19,0.43,-0.31,0.35,"A deeper focused Heritage read with stronger room throw, firmer note shape, and a more controlled bloom than the open triple-flange version.","A seasoned, richer Heritage presentation with a balanced TorchTuned posture, while keeping the shell-first balance intact.",Noticeably shifted away from the benchmark Heritage center; stronger outward throw; Die-Cast hoops add focus and containment.
12x7.5 • 8 lugs • 16 - 10mm • Die-Cast • Brass/Gold • Blackened,12|7.5|8|16 - 10mm|Die-Cast|Brass/Gold|Blackened,12,7.5,8,16 - 10mm,Die-Cast,Brass/Gold,Blackened,2.84,1.2,Focused throw with clean shape,1.673,Grounded body with directed carry,2.003,"Dark, contained shell shape",2.308,simple:focused-throw-clean-shape > shaped:grounded-body-directed-carry > complex:dark-contained-shell-shape,5.61,5.13,5.55,4.93,5.28,4.45,5.65,0.61,0.13,0.55,-0.07,0.28,-0.55,0.65,"A more TorchTuned-forward Heritage read, where the heavier scorch treatment adds a firmer center, slightly tighter bloom, and a more settled shell response.","A darker, richer Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the front edge firm and articulate.",Noticeably shifted away from the benchmark Heritage center; the Blackened finish pushes the read toward stronger control and a more disciplined shell response; touch sensitivity is traded for a more locked-in note center; Die-Cast hoops add focus and containment.
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Chrome • Light Torch,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Chrome|Light Torch,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Chrome,Light Torch,5.09,2.38,"Warm, deep settled center",3.456,"Expressive, blooming response",3.5235,"Dark, complex Heritage bloom",3.867,simple:warm-deep-settled-center > shaped:expressive-blooming-response > complex:dark-complex-heritage-bloom,4.19,4.75,5.09,6.57,6.15,5.52,4.3,-0.81,-0.25,0.09,1.57,1.15,0.52,-0.7,"A darker, more complex Heritage read with a drier top edge, longer sustain, and extra overtone character from the thin re-ring shell.","A cleaner, classic Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a rounder and less immediate note start; a longer, broader note bloom; the lighter TorchTune finish preserves more touch response and a freer shell reaction; the deeper 12-inch re-ring shell keeps studio warmth and balance."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Chrome • Medium Torch,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Chrome|Medium Torch,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Chrome,Medium Torch,4.3,1.94,"Warm, deep settled center",3.378,Rounded body with a clear start,2.8375,"Dark, complex Heritage bloom",3.499,simple:warm-deep-settled-center > shaped:rounded-body-clear-start > complex:dark-complex-heritage-bloom,4.37,4.57,4.98,6.31,6.23,5.28,4.6,-0.63,-0.43,-0.02,1.31,1.23,0.28,-0.4,"A darker, deeper Heritage read with a drier top edge, grounded body, and enough classic Triple Flange openness to keep the shell alive.","A seasoned, classic Heritage presentation with a balanced TorchTuned posture, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the deeper 12-inch re-ring shell keeps studio warmth and balance; a darker, drier top edge is balanced by classic Triple Flange openness; Triple Flange hoops preserve more of the line’s native openness."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Chrome • Blackened,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Chrome|Blackened,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Chrome,Blackened,3.39,1.62,"Warm, deep settled center",2.908,Rounded body with a clear start,2.1555,"Dark, complex Heritage bloom",3.03,simple:warm-deep-settled-center > shaped:rounded-body-clear-start > complex:dark-complex-heritage-bloom,4.55,4.45,4.87,6.05,6.07,5.04,4.9,-0.45,-0.55,-0.13,1.05,1.07,0.04,-0.1,"A compact, TorchTuned Heritage read: still lively from the smaller shell, but darker and more settled than the same build in a lighter finish.","A darker, classic Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the deeper 12-inch re-ring shell keeps studio warmth and balance; Triple Flange hoops preserve more of the line’s native openness."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Black Nickel • Light Torch,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Black Nickel|Light Torch,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Black Nickel,Light Torch,5.09,2.38,"Warm, deep settled center",3.456,"Expressive, blooming response",3.5235,"Dark, complex Heritage bloom",3.867,simple:warm-deep-settled-center > shaped:expressive-blooming-response > complex:dark-complex-heritage-bloom,4.19,4.75,5.09,6.57,6.15,5.52,4.3,-0.81,-0.25,0.09,1.57,1.15,0.52,-0.7,"A darker, more complex Heritage read with a drier top edge, longer sustain, and extra overtone character from the thin re-ring shell.","A cleaner, slightly more modern Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a rounder and less immediate note start; a longer, broader note bloom; the lighter TorchTune finish preserves more touch response and a freer shell reaction; the deeper 12-inch re-ring shell keeps studio warmth and balance."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Black Nickel • Medium Torch,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Black Nickel|Medium Torch,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Black Nickel,Medium Torch,4.3,1.94,"Warm, deep settled center",3.378,Rounded body with a clear start,2.8375,"Dark, complex Heritage bloom",3.499,simple:warm-deep-settled-center > shaped:rounded-body-clear-start > complex:dark-complex-heritage-bloom,4.37,4.57,4.98,6.31,6.23,5.28,4.6,-0.63,-0.43,-0.02,1.31,1.23,0.28,-0.4,"A darker, deeper Heritage read with a drier top edge, grounded body, and enough classic Triple Flange openness to keep the shell alive.","A seasoned, slightly more modern Heritage presentation with a balanced TorchTuned posture, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the deeper 12-inch re-ring shell keeps studio warmth and balance; a darker, drier top edge is balanced by classic Triple Flange openness; Triple Flange hoops preserve more of the line’s native openness."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Black Nickel • Blackened,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Black Nickel|Blackened,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Black Nickel,Blackened,3.39,1.62,"Warm, deep settled center",2.908,Rounded body with a clear start,2.1555,"Dark, complex Heritage bloom",3.03,simple:warm-deep-settled-center > shaped:rounded-body-clear-start > complex:dark-complex-heritage-bloom,4.55,4.45,4.87,6.05,6.07,5.04,4.9,-0.45,-0.55,-0.13,1.05,1.07,0.04,-0.1,"A compact, TorchTuned Heritage read: still lively from the smaller shell, but darker and more settled than the same build in a lighter finish.","A darker, slightly more modern Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the deeper 12-inch re-ring shell keeps studio warmth and balance; Triple Flange hoops preserve more of the line’s native openness."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Brass/Gold • Light Torch,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Brass/Gold|Light Torch,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Brass/Gold,Light Torch,5.09,2.38,"Warm, deep settled center",3.456,"Expressive, blooming response",3.5235,"Dark, complex Heritage bloom",3.867,simple:warm-deep-settled-center > shaped:expressive-blooming-response > complex:dark-complex-heritage-bloom,4.19,4.75,5.09,6.57,6.15,5.52,4.3,-0.81,-0.25,0.09,1.57,1.15,0.52,-0.7,"A darker, more complex Heritage read with a drier top edge, longer sustain, and extra overtone character from the thin re-ring shell.","A cleaner, richer Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a rounder and less immediate note start; a longer, broader note bloom; the lighter TorchTune finish preserves more touch response and a freer shell reaction; the deeper 12-inch re-ring shell keeps studio warmth and balance."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Brass/Gold • Medium Torch,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Brass/Gold|Medium Torch,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Brass/Gold,Medium Torch,4.3,1.94,"Warm, deep settled center",3.378,Rounded body with a clear start,2.8375,"Dark, complex Heritage bloom",3.499,simple:warm-deep-settled-center > shaped:rounded-body-clear-start > complex:dark-complex-heritage-bloom,4.37,4.57,4.98,6.31,6.23,5.28,4.6,-0.63,-0.43,-0.02,1.31,1.23,0.28,-0.4,"A darker, deeper Heritage read with a drier top edge, grounded body, and enough classic Triple Flange openness to keep the shell alive.","A seasoned, richer Heritage presentation with a balanced TorchTuned posture, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the deeper 12-inch re-ring shell keeps studio warmth and balance; a darker, drier top edge is balanced by classic Triple Flange openness; Triple Flange hoops preserve more of the line’s native openness."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Brass/Gold • Blackened,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Brass/Gold|Blackened,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Brass/Gold,Blackened,3.39,1.62,"Warm, deep settled center",2.908,Rounded body with a clear start,2.1555,"Dark, complex Heritage bloom",3.03,simple:warm-deep-settled-center > shaped:rounded-body-clear-start > complex:dark-complex-heritage-bloom,4.55,4.45,4.87,6.05,6.07,5.04,4.9,-0.45,-0.55,-0.13,1.05,1.07,0.04,-0.1,"A compact, TorchTuned Heritage read: still lively from the smaller shell, but darker and more settled than the same build in a lighter finish.","A darker, richer Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the deeper 12-inch re-ring shell keeps studio warmth and balance; Triple Flange hoops preserve more of the line’s native openness."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Chrome • Light Torch,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Chrome|Light Torch,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Chrome,Light Torch,3.65,1.75,"Warm, deep settled center",2.951,"Expressive, blooming response",2.703,"Dark, complex Heritage bloom",2.947,simple:warm-deep-settled-center > shaped:expressive-blooming-response > complex:dark-complex-heritage-bloom,4.51,4.93,5.28,6.26,6,5.27,4.72,-0.49,-0.07,0.28,1.26,1,0.27,-0.28,"A focused-but-open Heritage read: the die-cast hoops tighten the rim response, while the lighter TorchTune finish keeps more touch, air, and upper-shell liveliness in the voice.","A cleaner, classic Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; Light Torch keeps more touch and liveliness while the die-cast hoops add rim focus; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Chrome • Medium Torch,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Chrome|Medium Torch,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Chrome,Medium Torch,2.85,1.39,"Warm, deep settled center",2.873,Rounded body with a clear start,2.0675,"Dark, complex Heritage bloom",2.583,simple:warm-deep-settled-center > shaped:rounded-body-clear-start > complex:dark-complex-heritage-bloom,4.69,4.76,5.17,6,6.08,5.03,5.02,-0.31,-0.24,0.17,1,1.08,0.03,0.02,"A more focused Heritage read with firmer note shape, cleaner front edge, and tighter overall behavior.","A seasoned, classic Heritage presentation with a balanced TorchTuned posture, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Chrome • Blackened,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Chrome|Blackened,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Chrome,Blackened,2.65,1.19,"Warm, deep settled center",2.353,Grounded body with directed carry,1.82,"Wide, open Heritage bloom",1.7715,simple:warm-deep-settled-center > shaped:grounded-body-directed-carry > complex:wide-open-heritage-bloom,4.87,4.68,5.06,5.74,5.87,4.79,5.32,-0.13,-0.32,0.06,0.74,0.87,-0.21,0.32,"A more TorchTuned-forward Heritage read, where the heavier scorch treatment adds a firmer center, slightly tighter bloom, and a more settled shell response.","A darker, classic Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the Blackened finish adds a more contained center and slightly firmer shell behavior; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Black Nickel • Light Torch,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Black Nickel|Light Torch,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Black Nickel,Light Torch,3.65,1.75,"Warm, deep settled center",2.951,"Expressive, blooming response",2.703,"Dark, complex Heritage bloom",2.947,simple:warm-deep-settled-center > shaped:expressive-blooming-response > complex:dark-complex-heritage-bloom,4.51,4.93,5.28,6.26,6,5.27,4.72,-0.49,-0.07,0.28,1.26,1,0.27,-0.28,"A focused-but-open Heritage read: the die-cast hoops tighten the rim response, while the lighter TorchTune finish keeps more touch, air, and upper-shell liveliness in the voice.","A cleaner, slightly more modern Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; Light Torch keeps more touch and liveliness while the die-cast hoops add rim focus; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Black Nickel • Medium Torch,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Black Nickel|Medium Torch,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Black Nickel,Medium Torch,2.85,1.39,"Warm, deep settled center",2.873,Rounded body with a clear start,2.0675,"Dark, complex Heritage bloom",2.583,simple:warm-deep-settled-center > shaped:rounded-body-clear-start > complex:dark-complex-heritage-bloom,4.69,4.76,5.17,6,6.08,5.03,5.02,-0.31,-0.24,0.17,1,1.08,0.03,0.02,"A more focused Heritage read with firmer note shape, cleaner front edge, and tighter overall behavior.","A seasoned, slightly more modern Heritage presentation with a balanced TorchTuned posture, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Black Nickel • Blackened,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Black Nickel|Blackened,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Black Nickel,Blackened,2.65,1.19,"Warm, deep settled center",2.353,Grounded body with directed carry,1.82,"Wide, open Heritage bloom",1.7715,simple:warm-deep-settled-center > shaped:grounded-body-directed-carry > complex:wide-open-heritage-bloom,4.87,4.68,5.06,5.74,5.87,4.79,5.32,-0.13,-0.32,0.06,0.74,0.87,-0.21,0.32,"A more TorchTuned-forward Heritage read, where the heavier scorch treatment adds a firmer center, slightly tighter bloom, and a more settled shell response.","A darker, slightly more modern Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the Blackened finish adds a more contained center and slightly firmer shell behavior; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Brass/Gold • Light Torch,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Brass/Gold|Light Torch,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Brass/Gold,Light Torch,3.65,1.75,"Warm, deep settled center",2.951,"Expressive, blooming response",2.703,"Dark, complex Heritage bloom",2.947,simple:warm-deep-settled-center > shaped:expressive-blooming-response > complex:dark-complex-heritage-bloom,4.51,4.93,5.28,6.26,6,5.27,4.72,-0.49,-0.07,0.28,1.26,1,0.27,-0.28,"A focused-but-open Heritage read: the die-cast hoops tighten the rim response, while the lighter TorchTune finish keeps more touch, air, and upper-shell liveliness in the voice.","A cleaner, richer Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; Light Torch keeps more touch and liveliness while the die-cast hoops add rim focus; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Brass/Gold • Medium Torch,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Brass/Gold|Medium Torch,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Brass/Gold,Medium Torch,2.85,1.39,"Warm, deep settled center",2.873,Rounded body with a clear start,2.0675,"Dark, complex Heritage bloom",2.583,simple:warm-deep-settled-center > shaped:rounded-body-clear-start > complex:dark-complex-heritage-bloom,4.69,4.76,5.17,6,6.08,5.03,5.02,-0.31,-0.24,0.17,1,1.08,0.03,0.02,"A more focused Heritage read with firmer note shape, cleaner front edge, and tighter overall behavior.","A seasoned, richer Heritage presentation with a balanced TorchTuned posture, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment."
12x8.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Brass/Gold • Blackened,12|8.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Brass/Gold|Blackened,12,8.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Brass/Gold,Blackened,2.65,1.19,"Warm, deep settled center",2.353,Grounded body with directed carry,1.82,"Wide, open Heritage bloom",1.7715,simple:warm-deep-settled-center > shaped:grounded-body-directed-carry > complex:wide-open-heritage-bloom,4.87,4.68,5.06,5.74,5.87,4.79,5.32,-0.13,-0.32,0.06,0.74,0.87,-0.21,0.32,"A more TorchTuned-forward Heritage read, where the heavier scorch treatment adds a firmer center, slightly tighter bloom, and a more settled shell response.","A darker, richer Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the Blackened finish adds a more contained center and slightly firmer shell behavior; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment."
12x8.0 • 8 lugs • 16 - 10mm • Triple Flange • Chrome • Light Torch,12|8.0|8|16 - 10mm|Triple Flange|Chrome|Light Torch,12,8.0,8,16 - 10mm,Triple Flange,Chrome,Light Torch,3.1,1.38,"Warm, deep settled center",2.509,"Expressive, blooming response",2.1405,"Wide, open Heritage bloom",2.3155,simple:warm-deep-settled-center > shaped:expressive-blooming-response > complex:wide-open-heritage-bloom,4.79,5.06,5.59,5.94,5.77,5.09,4.56,-0.21,0.06,0.59,0.94,0.77,0.09,-0.44,"A fuller Heritage read with broader body, deeper bloom, and a more grounded voice in the room.","A cleaner, classic Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the lighter TorchTune finish preserves more touch response and a freer shell reaction; Triple Flange hoops preserve more of the line’s native openness."
12x8.0 • 8 lugs • 16 - 10mm • Triple Flange • Chrome • Medium Torch,12|8.0|8|16 - 10mm|Triple Flange|Chrome|Medium Torch,12,8.0,8,16 - 10mm,Triple Flange,Chrome,Medium Torch,2.45,1,"Warm, deep settled center",2.431,Rounded body with a clear start,1.7855,Body that blooms outward,1.9123,simple:warm-deep-settled-center > shaped:rounded-body-clear-start > complex:body-blooms-outward,4.97,4.88,5.48,5.68,5.85,4.85,4.86,-0.03,-0.12,0.48,0.68,0.85,-0.15,-0.14,"A fuller Heritage read with broader body, deeper bloom, and a more grounded voice in the room.","A seasoned, classic Heritage presentation with a balanced TorchTuned posture, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; a darker, drier top edge is balanced by classic Triple Flange openness; Triple Flange hoops preserve more of the line’s native openness."
12x8.0 • 8 lugs • 16 - 10mm • Triple Flange • Chrome • Blackened,12|8.0|8|16 - 10mm|Triple Flange|Chrome|Blackened,12,8.0,8,16 - 10mm,Triple Flange,Chrome,Blackened,2.42,1.08,"Warm, deep settled center",1.961,Grounded body with directed carry,1.5205,Body that blooms outward,1.4674,simple:warm-deep-settled-center > shaped:grounded-body-directed-carry > complex:body-blooms-outward,5.15,4.76,5.37,5.42,5.69,4.61,5.16,0.15,-0.24,0.37,0.42,0.69,-0.39,0.16,"A compact, TorchTuned Heritage read: still lively from the smaller shell, but darker and more settled than the same build in a lighter finish.","A darker, classic Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the shell-first balance intact.",Warmer and more body-forward than the benchmark Heritage build; Triple Flange hoops preserve more of the line’s native openness.
12x8.0 • 8 lugs • 16 - 10mm • Triple Flange • Black Nickel • Light Torch,12|8.0|8|16 - 10mm|Triple Flange|Black Nickel|Light Torch,12,8.0,8,16 - 10mm,Triple Flange,Black Nickel,Light Torch,3.1,1.38,"Warm, deep settled center",2.509,"Expressive, blooming response",2.1405,"Wide, open Heritage bloom",2.3155,simple:warm-deep-settled-center > shaped:expressive-blooming-response > complex:wide-open-heritage-bloom,4.79,5.06,5.59,5.94,5.77,5.09,4.56,-0.21,0.06,0.59,0.94,0.77,0.09,-0.44,"A fuller Heritage read with broader body, deeper bloom, and a more grounded voice in the room.","A cleaner, slightly more modern Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the lighter TorchTune finish preserves more touch response and a freer shell reaction; Triple Flange hoops preserve more of the line’s native openness."
12x8.0 • 8 lugs • 16 - 10mm • Triple Flange • Black Nickel • Medium Torch,12|8.0|8|16 - 10mm|Triple Flange|Black Nickel|Medium Torch,12,8.0,8,16 - 10mm,Triple Flange,Black Nickel,Medium Torch,2.45,1,"Warm, deep settled center",2.431,Rounded body with a clear start,1.7855,Body that blooms outward,1.9123,simple:warm-deep-settled-center > shaped:rounded-body-clear-start > complex:body-blooms-outward,4.97,4.88,5.48,5.68,5.85,4.85,4.86,-0.03,-0.12,0.48,0.68,0.85,-0.15,-0.14,"A fuller Heritage read with broader body, deeper bloom, and a more grounded voice in the room.","A seasoned, slightly more modern Heritage presentation with a balanced TorchTuned posture, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; a darker, drier top edge is balanced by classic Triple Flange openness; Triple Flange hoops preserve more of the line’s native openness."
12x8.0 • 8 lugs • 16 - 10mm • Triple Flange • Black Nickel • Blackened,12|8.0|8|16 - 10mm|Triple Flange|Black Nickel|Blackened,12,8.0,8,16 - 10mm,Triple Flange,Black Nickel,Blackened,2.42,1.08,"Warm, deep settled center",1.961,Grounded body with directed carry,1.5205,Body that blooms outward,1.4674,simple:warm-deep-settled-center > shaped:grounded-body-directed-carry > complex:body-blooms-outward,5.15,4.76,5.37,5.42,5.69,4.61,5.16,0.15,-0.24,0.37,0.42,0.69,-0.39,0.16,"A compact, TorchTuned Heritage read: still lively from the smaller shell, but darker and more settled than the same build in a lighter finish.","A darker, slightly more modern Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the shell-first balance intact.",Warmer and more body-forward than the benchmark Heritage build; Triple Flange hoops preserve more of the line’s native openness.
12x8.0 • 8 lugs • 16 - 10mm • Triple Flange • Brass/Gold • Light Torch,12|8.0|8|16 - 10mm|Triple Flange|Brass/Gold|Light Torch,12,8.0,8,16 - 10mm,Triple Flange,Brass/Gold,Light Torch,3.1,1.38,"Warm, deep settled center",2.509,"Expressive, blooming response",2.1405,"Wide, open Heritage bloom",2.3155,simple:warm-deep-settled-center > shaped:expressive-blooming-response > complex:wide-open-heritage-bloom,4.79,5.06,5.59,5.94,5.77,5.09,4.56,-0.21,0.06,0.59,0.94,0.77,0.09,-0.44,"A fuller Heritage read with broader body, deeper bloom, and a more grounded voice in the room.","A cleaner, richer Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the emphasis on body, weight, and shell character.","Warmer and more body-forward than the benchmark Heritage build; a longer, broader note bloom; the lighter TorchTune finish preserves more touch response and a freer shell reaction; Triple Flange hoops preserve more of the line’s native openness."
