company,line,model,size,family,construction,material1,material2,thickness,bearingEdge,hoop,lugs,confidence,missing,id
Dunnett Classic Drums,Sp Stereoply,Stereoply Maple/Walnut,14x5.5,wood,Ply,Maple,Walnut,MISSING,MISSING,Triple-flange / cold-rolled varies,810,medium,"shellThickness, bearingEdgeOrFallback",dunnett-classic-drums_sp-stereoply_stereoply-maple-walnut_14x5-5_ply_maple_walnut_satin-lacquer_triple-flange-cold-rolle_9445ad1c
Dunnett Classic Drums,Sp Stereoply,Stereoply Maple/Walnut,14x6.5,wood,Ply,Maple,Walnut,MISSING,MISSING,Triple-flange / cold-rolled varies,810,medium,"shellThickness, bearingEdgeOrFallback",dunnett-classic-drums_sp-stereoply_stereoply-maple-walnut_14x6-5_ply_maple_walnut_satin-lacquer_triple-flange-cold-rolle_09612fed
Dunnett Classic Drums,Sp Stereoply,Stereoply Walnut/Maple,13x7,wood,Ply,Walnut,Maple,MISSING,MISSING,Triple-flange / cold-rolled varies,810,medium,"shellThickness, bearingEdgeOrFallback",dunnett-classic-drums_sp-stereoply_stereoply-walnut-maple_13x7_ply_walnut_maple_natural-raw-custom_triple-flange-cold-ro_e62de174
Dunnett Classic Drums,Sp Stereoply,Stereoply Walnut/Maple,14x7,wood,Ply,Walnut,Maple,MISSING,MISSING,Triple-flange / cold-rolled varies,810,medium,"shellThickness, bearingEdgeOrFallback",dunnett-classic-drums_sp-stereoply_stereoply-walnut-maple_14x7_ply_walnut_maple_natural-raw-custom_triple-flange-cold-ro_c50f30b8
DW / PDP,Design Series,Design Series Acrylic 14x5.5,14x5.5,composite,Acrylic,Acrylic,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_design-series_design-series-acrylic-14x5-5_14x5-5_acrylic_acrylic_clear-smoke-acrylic_true-hoop-triple-flanged_24bdf5bb
DW / PDP,Design Series,Design Series Acrylic 14x6.5,14x6.5,composite,Acrylic,Acrylic,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_design-series_design-series-acrylic-14x6-5_14x6-5_acrylic_acrylic_clear-smoke-acrylic_true-hoop-triple-flanged_d2ed25f9
DW / PDP,Design Series,Design Series Acrylic 14x8,14x8,composite,Acrylic,Acrylic,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_design-series_design-series-acrylic-14x8_14x8_acrylic_acrylic_clear-smoke-acrylic_true-hoop-triple-flanged_c1a3471b
DW / PDP,PDP Concept Acrylic,Concept Acrylic 14x5.5,14x5.5,composite,Acrylic,Acrylic,,MISSING,MISSING,Triple-flanged,8,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_pdp-concept-acrylic_concept-acrylic-14x5-5_14x5-5_acrylic_acrylic_clear-colored-acrylic_triple-flanged_dca3397f
DW / PDP,PDP Concept Acrylic,Concept Acrylic 14x6.5,14x6.5,composite,Acrylic,Acrylic,,MISSING,MISSING,Acrylic hoops,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_pdp-concept-acrylic_concept-acrylic-14x6-5_14x6-5_acrylic_acrylic_clear-colored-acrylic_acrylic-hoops_ab2304e9
DW / PDP,PDP Concept Acrylic,Concept Acrylic 14x8,14x8,composite,Acrylic,Acrylic,,MISSING,MISSING,Triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_pdp-concept-acrylic_concept-acrylic-14x8_14x8_acrylic_acrylic_clear-colored-acrylic_triple-flanged_cf275f56
DW / PDP,Collector's Series,Collector's SonicPly Aluminum/Maple 13x5.5,13x5.5,metal,Ply,Aluminum,Maple,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-sonicply-aluminum-maple-13x5-5_13x5-5_ply_aluminum_maple_lacquer-oil-natural-confi_73ccbdcd
DW / PDP,Collector's Series,Collector's SonicPly Aluminum/Maple 14x5.5,14x5.5,metal,Ply,Aluminum,Maple,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-sonicply-aluminum-maple-14x5-5_14x5-5_ply_aluminum_maple_lacquer-oil-natural-confi_9f41b8c7
DW / PDP,Collector's Series,Collector's SonicPly Aluminum/Maple 14x6.5,14x6.5,metal,Ply,Aluminum,Maple,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-sonicply-aluminum-maple-14x6-5_14x6-5_ply_aluminum_maple_lacquer-oil-natural-confi_116aa797
DW / PDP,Collector's Series,Collector's SonicPly Aluminum/Maple 14x8,14x8,metal,Ply,Aluminum,Maple,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-sonicply-aluminum-maple-14x8_14x8_ply_aluminum_maple_lacquer-oil-natural-configura_b7ee6b5e
DW / PDP,Collector's Specialty / Metal,DW Aluminum 14x6.5,14x6.5,metal,Metal,Aluminum,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-aluminum-14x6-5_14x6-5_metal_aluminum_varies_true-hoop-triple-flanged_609a0827
DW / PDP,Collector's Specialty / Metal,DW Brass 14x5.5,14x5.5,metal,Metal,Brass,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-brass-14x5-5_14x5-5_metal_brass_varies_true-hoop-triple-flanged_1e9dde9b
DW / PDP,Collector's Specialty / Metal,DW Brass 14x6.5,14x6.5,metal,Metal,Brass,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-brass-14x6-5_14x6-5_metal_brass_varies_true-hoop-triple-flanged_b770c9bb
DW / PDP,Collector's Specialty / Metal,DW Bronze 14x6.5,14x6.5,metal,Metal,Bronze,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-bronze-14x6-5_14x6-5_metal_bronze_varies_true-hoop-triple-flanged_9fb017b1
DW / PDP,Collector's Specialty / Metal,DW Copper 14x6.5,14x6.5,metal,Metal,Copper,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-copper-14x6-5_14x6-5_metal_copper_varies_true-hoop-triple-flanged_4b211db1
DW / PDP,Collector's Specialty / Metal,DW Stainless Steel 14x6.5,14x6.5,metal,Metal,Stainless Steel,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-stainless-steel-14x6-5_14x6-5_metal_stainless-steel_varies_true-hoop-triple-flange_7c064417
DW / PDP,Collector's Specialty / Metal,DW Titanium 14x6.5,14x6.5,metal,Metal,Titanium,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-titanium-14x6-5_14x6-5_metal_titanium_varies_true-hoop-triple-flanged_5c73d450
DW / PDP,Collector's Specialty / Metal,DW True Sonic Stainless Steel 14x5,14x5,metal,Metal,Stainless Steel,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-true-sonic-stainless-steel-14x5_14x5_metal_stainless-steel_varies_true-hoop-triple_a1ae903f
DW / PDP,Collector's Specialty / Metal,DW True Sonic Stainless Steel 14x6.5,14x6.5,metal,Metal,Stainless Steel,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-true-sonic-stainless-steel-14x6-5_14x6-5_metal_stainless-steel_varies_true-hoop-tr_a925b00a
DW / PDP,Design Series,Design Series Black Nickel over Brass 14x6.5,14x6.5,metal,Metal,Brass,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_design-series_design-series-black-nickel-over-brass-14x6-5_14x6-5_metal_brass_black-nickel-over-brass_true-hoop-t_ecf624f0
DW / PDP,Design Series,Design Series Brushed Aluminum 14x6.5,14x6.5,metal,Metal,Aluminum,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_design-series_design-series-brushed-aluminum-14x6-5_14x6-5_metal_aluminum_brushed-aluminum_true-hoop-triple-flang_823f1ea9
DW / PDP,Design Series,Design Series Steel 14x6.5,14x6.5,metal,Metal,Steel,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_design-series_design-series-steel-14x6-5_14x6-5_metal_steel_steel_true-hoop-triple-flanged_5d6bf97f
DW / PDP,PDP Concept Metal,Concept Black Nickel over Steel 14x5.5,14x5.5,metal,Metal,Steel,,MISSING,Flanged 45-degree edge estimated from review/listing,Triple-flanged,8,medium,shellThickness,dw-pdp_pdp-concept-metal_concept-black-nickel-over-steel-14x5-5_14x5-5_metal_steel_flanged-45-degree-edge-estimated-from_8dbbee2f
DW / PDP,PDP Concept Metal,Concept Black Nickel over Steel 14x6.5,14x6.5,metal,Metal,Steel,,MISSING,Flanged 45-degree edge estimated from review/listing,Triple-flanged,8,medium,shellThickness,dw-pdp_pdp-concept-metal_concept-black-nickel-over-steel-14x6-5_14x6-5_metal_steel_flanged-45-degree-edge-estimated-from_30641c17
DW / PDP,PDP Concept Metal,Concept Brass 14x6.5,14x6.5,metal,Metal,Brass,,MISSING,Flanged 45-degree edge estimated from review/listing,Triple-flanged,8,medium,shellThickness,dw-pdp_pdp-concept-metal_concept-brass-14x6-5_14x6-5_metal_brass_flanged-45-degree-edge-estimated-from-review-listing_br_51c51e3f
DW / PDP,PDP Concept Metal,Concept Brushed Aluminum 14x5,14x5,metal,Metal,Aluminum,,MISSING,Flanged 45-degree edge estimated from review/listing,Triple-flanged,8,medium,shellThickness,dw-pdp_pdp-concept-metal_concept-brushed-aluminum-14x5_14x5_metal_aluminum_flanged-45-degree-edge-estimated-from-review-_94509787
DW / PDP,PDP Concept Metal,Concept Brushed Aluminum 14x6.5,14x6.5,metal,Metal,Aluminum,,MISSING,Flanged 45-degree edge estimated from review/listing,Triple-flanged,8,medium,shellThickness,dw-pdp_pdp-concept-metal_concept-brushed-aluminum-14x6-5_14x6-5_metal_aluminum_flanged-45-degree-edge-estimated-from-rev_104a3567
DW / PDP,PDP Concept Metal,Concept Copper 14x6.5,14x6.5,metal,Metal,Copper,,MISSING,Flanged 45-degree edge estimated from review/listing,Triple-flanged,8,medium,shellThickness,dw-pdp_pdp-concept-metal_concept-copper-14x6-5_14x6-5_metal_copper_flanged-45-degree-edge-estimated-from-review-listing__3716c84f
DW / PDP,PDP Signature,Chad Smith Signature 14x5,14x5,metal,Metal,Steel,,MISSING,MISSING,Triple-flanged,8,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_pdp-signature_chad-smith-signature-14x5_14x5_metal_steel_triple-flanged_0d314dee
DW / PDP,Collector's Specialty / Metal,DW Concrete 14x6.5,14x6.5,unknown,Composite,Concrete Composite,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-concrete-14x6-5_14x6-5_composite_concrete-composite_varies_true-hoop-triple-flange_eed680e3
DW / PDP,DW Historical / Discontinued,DW Carbon Fiber 14x6.5,14x6.5,unknown,Composite,Carbon Fiber,,MISSING,MISSING,Triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_dw-historical-discontinued_dw-carbon-fiber-14x6-5_14x6-5_composite_carbon-fiber_lacquer-natural-varies_triple-fla_152a2abd
DW / PDP,Collector's Series,Collector's Birch 13x5.5,13x5.5,wood,Ply,Birch,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-birch-13x5-5_13x5-5_ply_birch_lacquer-oil-natural-configurable_true-hoop-triple-fl_6cdafd5b
DW / PDP,Collector's Series,Collector's Birch 14x5.5,14x5.5,wood,Ply,Birch,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-birch-14x5-5_14x5-5_ply_birch_lacquer-oil-natural-configurable_true-hoop-triple-fl_dd12f9a9
DW / PDP,Collector's Series,Collector's Birch 14x6.5,14x6.5,wood,Ply,Birch,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-birch-14x6-5_14x6-5_ply_birch_lacquer-oil-natural-configurable_true-hoop-triple-fl_57e64c81
DW / PDP,Collector's Series,Collector's Birch 14x8,14x8,wood,Ply,Birch,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-birch-14x8_14x8_ply_birch_lacquer-oil-natural-configurable_true-hoop-triple-flange_ceb97f2e
DW / PDP,Collector's Series,Collector's Cherry 13x5.5,13x5.5,wood,Ply,Cherry,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-cherry-13x5-5_13x5-5_ply_cherry_lacquer-oil-natural-configurable_true-hoop-triple-_fb0b24a8
DW / PDP,Collector's Series,Collector's Cherry 14x5.5,14x5.5,wood,Ply,Cherry,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-cherry-14x5-5_14x5-5_ply_cherry_lacquer-oil-natural-configurable_true-hoop-triple-_0ccae8d5
DW / PDP,Collector's Series,Collector's Cherry 14x6.5,14x6.5,wood,Ply,Cherry,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-cherry-14x6-5_14x6-5_ply_cherry_lacquer-oil-natural-configurable_true-hoop-triple-_23f2053c
DW / PDP,Collector's Series,Collector's Cherry 14x8,14x8,wood,Ply,Cherry,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-cherry-14x8_14x8_ply_cherry_lacquer-oil-natural-configurable_true-hoop-triple-flan_5f96d676
DW / PDP,Collector's Series,Collector's Classics 13x5.5,13x5.5,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-classics-13x5-5_13x5-5_ply_maple_lacquer-oil-natural-configurable_true-hoop-triple_19065de4
DW / PDP,Collector's Series,Collector's Classics 14x5.5,14x5.5,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-classics-14x5-5_14x5-5_ply_maple_lacquer-oil-natural-configurable_true-hoop-triple_7fe4d7ae
DW / PDP,Collector's Series,Collector's Classics 14x6.5,14x6.5,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-classics-14x6-5_14x6-5_ply_maple_lacquer-oil-natural-configurable_true-hoop-triple_35d43bfc
DW / PDP,Collector's Series,Collector's Classics 14x8,14x8,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-classics-14x8_14x8_ply_maple_lacquer-oil-natural-configurable_true-hoop-triple-fla_8c54ad7e
DW / PDP,Collector's Series,Collector's Maple HVX 13x5.5,13x5.5,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-hvx-13x5-5_13x5-5_ply_maple_lacquer-oil-natural-configurable_true-hoop-tripl_2f96fd8f
DW / PDP,Collector's Series,Collector's Maple HVX 14x5.5,14x5.5,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-hvx-14x5-5_14x5-5_ply_maple_lacquer-oil-natural-configurable_true-hoop-tripl_b5c6eb34
DW / PDP,Collector's Series,Collector's Maple HVX 14x6.5,14x6.5,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-hvx-14x6-5_14x6-5_ply_maple_lacquer-oil-natural-configurable_true-hoop-tripl_d8ef42bd
DW / PDP,Collector's Series,Collector's Maple HVX 14x8,14x8,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-hvx-14x8_14x8_ply_maple_lacquer-oil-natural-configurable_true-hoop-triple-fl_277f15ad
DW / PDP,Collector's Series,Collector's Maple Mahogany 13x5.5,13x5.5,wood,Ply,Maple,Mahogany,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-mahogany-13x5-5_13x5-5_ply_maple_mahogany_lacquer-oil-natural-configurable_t_ad0d8f1e
DW / PDP,Collector's Series,Collector's Maple Mahogany 14x5.5,14x5.5,wood,Ply,Maple,Mahogany,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-mahogany-14x5-5_14x5-5_ply_maple_mahogany_lacquer-oil-natural-configurable_t_900c3645
DW / PDP,Collector's Series,Collector's Maple Mahogany 14x6.5,14x6.5,wood,Ply,Maple,Mahogany,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-mahogany-14x6-5_14x6-5_ply_maple_mahogany_lacquer-oil-natural-configurable_t_0d11d75c
DW / PDP,Collector's Series,Collector's Maple Mahogany 14x8,14x8,wood,Ply,Maple,Mahogany,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-mahogany-14x8_14x8_ply_maple_mahogany_lacquer-oil-natural-configurable_true-_284f6c4c
DW / PDP,Collector's Series,Collector's Maple VLT 13x5.5,13x5.5,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-vlt-13x5-5_13x5-5_ply_maple_lacquer-oil-natural-configurable_true-hoop-tripl_b0be3338
DW / PDP,Collector's Series,Collector's Maple VLT 14x5.5,14x5.5,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-vlt-14x5-5_14x5-5_ply_maple_lacquer-oil-natural-configurable_true-hoop-tripl_a6b7a863
DW / PDP,Collector's Series,Collector's Maple VLT 14x6.5,14x6.5,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-vlt-14x6-5_14x6-5_ply_maple_lacquer-oil-natural-configurable_true-hoop-tripl_7f7722fe
DW / PDP,Collector's Series,Collector's Maple VLT 14x8,14x8,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-vlt-14x8_14x8_ply_maple_lacquer-oil-natural-configurable_true-hoop-triple-fl_7ebac9a9
DW / PDP,Collector's Series,Collector's Maple X-Shell 13x5.5,13x5.5,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-x-shell-13x5-5_13x5-5_ply_maple_lacquer-oil-natural-configurable_true-hoop-t_ff2962c1
DW / PDP,Collector's Series,Collector's Maple X-Shell 14x5.5,14x5.5,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-x-shell-14x5-5_14x5-5_ply_maple_lacquer-oil-natural-configurable_true-hoop-t_2b2a9590
DW / PDP,Collector's Series,Collector's Maple X-Shell 14x6.5,14x6.5,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-x-shell-14x6-5_14x6-5_ply_maple_lacquer-oil-natural-configurable_true-hoop-t_b83b0f9e
DW / PDP,Collector's Series,Collector's Maple X-Shell 14x8,14x8,wood,Ply,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-maple-x-shell-14x8_14x8_ply_maple_lacquer-oil-natural-configurable_true-hoop-tripl_1bdd971d
DW / PDP,Collector's Series,Collector's Oak 13x5.5,13x5.5,wood,Ply,Oak,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-oak-13x5-5_13x5-5_ply_oak_lacquer-oil-natural-configurable_true-hoop-triple-flange_3df711dc
DW / PDP,Collector's Series,Collector's Oak 14x5.5,14x5.5,wood,Ply,Oak,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-oak-14x5-5_14x5-5_ply_oak_lacquer-oil-natural-configurable_true-hoop-triple-flange_bf5eeecb
DW / PDP,Collector's Series,Collector's Oak 14x6.5,14x6.5,wood,Ply,Oak,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-oak-14x6-5_14x6-5_ply_oak_lacquer-oil-natural-configurable_true-hoop-triple-flange_05574206
DW / PDP,Collector's Series,Collector's Oak 14x8,14x8,wood,Ply,Oak,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-oak-14x8_14x8_ply_oak_lacquer-oil-natural-configurable_true-hoop-triple-flanged_b2a58dd2
DW / PDP,Collector's Series,Collector's Purpleheart 13x5.5,13x5.5,wood,Ply,Purpleheart,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-purpleheart-13x5-5_13x5-5_ply_purpleheart_lacquer-oil-natural-configurable_true-ho_064f73c9
DW / PDP,Collector's Series,Collector's Purpleheart 14x5.5,14x5.5,wood,Ply,Purpleheart,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-purpleheart-14x5-5_14x5-5_ply_purpleheart_lacquer-oil-natural-configurable_true-ho_bcfa4329
DW / PDP,Collector's Series,Collector's Purpleheart 14x6.5,14x6.5,wood,Ply,Purpleheart,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-purpleheart-14x6-5_14x6-5_ply_purpleheart_lacquer-oil-natural-configurable_true-ho_c0bbc665
DW / PDP,Collector's Series,Collector's Purpleheart 14x8,14x8,wood,Ply,Purpleheart,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-purpleheart-14x8_14x8_ply_purpleheart_lacquer-oil-natural-configurable_true-hoop-t_a24ce298
DW / PDP,Collector's Series,Collector's Walnut 13x5.5,13x5.5,wood,Ply,Walnut,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-walnut-13x5-5_13x5-5_ply_walnut_lacquer-oil-natural-configurable_true-hoop-triple-_d80949bb
DW / PDP,Collector's Series,Collector's Walnut 14x5.5,14x5.5,wood,Ply,Walnut,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-walnut-14x5-5_14x5-5_ply_walnut_lacquer-oil-natural-configurable_true-hoop-triple-_824a346f
DW / PDP,Collector's Series,Collector's Walnut 14x6.5,14x6.5,wood,Ply,Walnut,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-walnut-14x6-5_14x6-5_ply_walnut_lacquer-oil-natural-configurable_true-hoop-triple-_9e72c6c9
DW / PDP,Collector's Series,Collector's Walnut 14x8,14x8,wood,Ply,Walnut,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-series_collector-s-walnut-14x8_14x8_ply_walnut_lacquer-oil-natural-configurable_true-hoop-triple-flan_6d7a70c4
DW / PDP,Collector's Specialty / Metal,DW Edge Maple/Metal 14x6,14x6,wood,Hybrid,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-edge-maple-metal-14x6_14x6_hybrid_maple_varies_true-hoop-triple-flanged_375984f2
DW / PDP,Collector's Specialty / Metal,DW Super Solid Maple 14x5.5,14x5.5,wood,Solid Shell,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-super-solid-maple-14x5-5_14x5-5_solid-shell_maple_varies_true-hoop-triple-flanged_021e6484
DW / PDP,Collector's Specialty / Metal,DW Super Solid Maple 14x6.5,14x6.5,wood,Solid Shell,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-super-solid-maple-14x6-5_14x6-5_solid-shell_maple_varies_true-hoop-triple-flanged_8cda9d93
DW / PDP,Collector's Specialty / Metal,DW Top Edge Maple/Metal 14x5.5,14x5.5,wood,Hybrid,Maple,,MISSING,MISSING,True Hoop / triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_collector-s-specialty-metal_dw-top-edge-maple-metal-14x5-5_14x5-5_hybrid_maple_varies_true-hoop-triple-flanged_a1266429
DW / PDP,DW Historical / Discontinued,Craviotto Solid Maple by DW 14x5.5,14x5.5,wood,Solid Shell,Maple,,MISSING,MISSING,Triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_dw-historical-discontinued_craviotto-solid-maple-by-dw-14x5-5_14x5-5_solid-shell_maple_lacquer-natural-varies_tri_2023d543
DW / PDP,DW Historical / Discontinued,Craviotto Solid Maple by DW 14x6.5,14x6.5,wood,Solid Shell,Maple,,MISSING,MISSING,Triple-flanged,10,medium,"shellThickness, bearingEdgeOrFallback",dw-pdp_dw-historical-discontinued_craviotto-solid-maple-by-dw-14x6-5_14x6-5_solid-shell_maple_lacquer-natural-varies_tri_a282f4ef
